GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A00AA2020
"G0100010","Alabama","01","010","Autauga County","001","0010",58805
"G0100030","Alabama","01","010","Baldwin County","003","0030",231767
"G0100050","Alabama","01","010","Barbour County","005","0050",25223
"G0100070","Alabama","01","010","Bibb County","007","0070",22293
"G0100090","Alabama","01","010","Blount County","009","0090",59134
"G0100110","Alabama","01","010","Bullock County","011","0110",10357
"G0100130","Alabama","01","010","Butler County","013","0130",19051
"G0100150","Alabama","01","010","Calhoun County","015","0150",116441
"G0100170","Alabama","01","010","Chambers County","017","0170",34772
"G0100190","Alabama","01","010","Cherokee County","019","0190",24971
"G0100210","Alabama","01","010","Chilton County","021","0210",45014
"G0100230","Alabama","01","010","Choctaw County","023","0230",12665
"G0100250","Alabama","01","010","Clarke County","025","0250",23087
"G0100270","Alabama","01","010","Clay County","027","0270",14236
"G0100290","Alabama","01","010","Cleburne County","029","0290",15056
"G0100310","Alabama","01","010","Coffee County","031","0310",53465
"G0100330","Alabama","01","010","Colbert County","033","0330",57227
"G0100350","Alabama","01","010","Conecuh County","035","0350",11597
"G0100370","Alabama","01","010","Coosa County","037","0370",10387
"G0100390","Alabama","01","010","Covington County","039","0390",37570
"G0100410","Alabama","01","010","Crenshaw County","041","0410",13194
"G0100430","Alabama","01","010","Cullman County","043","0430",87866
"G0100450","Alabama","01","010","Dale County","045","0450",49326
"G0100470","Alabama","01","010","Dallas County","047","0470",38462
"G0100490","Alabama","01","010","DeKalb County","049","0490",71608
"G0100510","Alabama","01","010","Elmore County","051","0510",87977
"G0100530","Alabama","01","010","Escambia County","053","0530",36757
"G0100550","Alabama","01","010","Etowah County","055","0550",103436
"G0100570","Alabama","01","010","Fayette County","057","0570",16321
"G0100590","Alabama","01","010","Franklin County","059","0590",32113
"G0100610","Alabama","01","010","Geneva County","061","0610",26659
"G0100630","Alabama","01","010","Greene County","063","0630",7730
"G0100650","Alabama","01","010","Hale County","065","0650",14785
"G0100670","Alabama","01","010","Henry County","067","0670",17146
"G0100690","Alabama","01","010","Houston County","069","0690",107202
"G0100710","Alabama","01","010","Jackson County","071","0710",52579
"G0100730","Alabama","01","010","Jefferson County","073","0730",674721
"G0100750","Alabama","01","010","Lamar County","075","0750",13972
"G0100770","Alabama","01","010","Lauderdale County","077","0770",93564
"G0100790","Alabama","01","010","Lawrence County","079","0790",33073
"G0100810","Alabama","01","010","Lee County","081","0810",174241
"G0100830","Alabama","01","010","Limestone County","083","0830",103570
"G0100850","Alabama","01","010","Lowndes County","085","0850",10311
"G0100870","Alabama","01","010","Macon County","087","0870",19532
"G0100890","Alabama","01","010","Madison County","089","0890",388153
"G0100910","Alabama","01","010","Marengo County","091","0910",19323
"G0100930","Alabama","01","010","Marion County","093","0930",29341
"G0100950","Alabama","01","010","Marshall County","095","0950",97612
"G0100970","Alabama","01","010","Mobile County","097","0970",414809
"G0100990","Alabama","01","010","Monroe County","099","0990",19772
"G0101010","Alabama","01","010","Montgomery County","101","1010",228954
"G0101030","Alabama","01","010","Morgan County","103","1030",123421
"G0101050","Alabama","01","010","Perry County","105","1050",8511
"G0101070","Alabama","01","010","Pickens County","107","1070",19123
"G0101090","Alabama","01","010","Pike County","109","1090",33009
"G0101110","Alabama","01","010","Randolph County","111","1110",21967
"G0101130","Alabama","01","010","Russell County","113","1130",59183
"G0101170","Alabama","01","010","Shelby County","117","1170",223024
"G0101150","Alabama","01","010","St. Clair County","115","1150",91103
"G0101190","Alabama","01","010","Sumter County","119","1190",12345
"G0101210","Alabama","01","010","Talladega County","121","1210",82149
"G0101230","Alabama","01","010","Tallapoosa County","123","1230",41311
"G0101250","Alabama","01","010","Tuscaloosa County","125","1250",227036
"G0101270","Alabama","01","010","Walker County","127","1270",65342
"G0101290","Alabama","01","010","Washington County","129","1290",15388
"G0101310","Alabama","01","010","Wilcox County","131","1310",10600
